fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.042,other,17.7,0.26,0.93,0.1,,,,,,0.75,2,1,2,1,1,,1,546783,10644,1108172,13090691,1400,10389,8586,916,,1259,938,183,,1114,10268590,4329564,3928633,2021-10-14,https://covidactnow.org/us/maryland-md,0.716,0.65,17,8184571,3
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.042,other,28.0,0.05,0.88,0.1,,,,,,0.78,3,1,3,2,0,,1,95833,1083,78951,2689440,86,2991,2224,186,,321,249,64,,893,2218420,1008426,932135,2021-10-14,https://covidactnow.org/us/maine-me,0.75,0.693,7,1872758,3
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.091,other,44.0,0.05,1.11,0.1,,,,,,0.83,3,1,3,2,2,,2,1207442,22843,1286195,15739164,1000,22327,18295,2177,,2484,2074,596,,10849,13887780,5723169,5268635,2021-10-14,https://covidactnow.org/us/michigan-mi,0.573,0.528,125,10991701,3
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.096,other,50.2,0.07,1.1,0.1,,,,,,0.8,3,1,3,2,1,,1,749268,8478,1082091,14524422,1028,9955,8171,1115,,950,760,265,,2376,8095680,3620129,3322253,2021-10-14,https://covidactnow.org/us/minnesota-mn,0.642,0.589,24,6881982,3
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.081,other,19.2,0.02,0.86,0.1,,,,,,0.81,2,1,2,2,0,,2,854131,12511,900224,7416610,94,15278,12308,1225,,1786,1440,342,,1634,8041595,3414840,2990515,2021-10-14,https://covidactnow.org/us/missouri-mo,0.556,0.487,99,6480072,3
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,2.4,,,,,,,,,,1,4,1,4,4,,4,282,3,564,54971,10,,,,,,,,,1,86200,36007,34467,2021-10-14,https://covidactnow.org/us/northern_mariana_islands-mp,0.672,0.643,0,71093,1
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.082,other,20.6,0.07,0.78,0.1,,,,,,0.79,2,1,2,2,0,,1,496851,9900,234468,1643970,200,8218,5272,446,,843,663,137,,719,3908505,1516591,1324030,2021-10-14,https://covidactnow.org/us/mississippi-ms,0.51,0.445,26,2868330,3
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.17,other,74.0,0.05,0.98,0.1,,,,,,0.81,3,2,3,2,1,,2,162414,2109,184348,1365157,200,2831,2163,524,,237,193,120,,1347,1398925,594346,526505,2021-10-14,https://covidactnow.org/us/montana-mt,0.556,0.493,15,1129229,3
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.073,other,31.3,0.07,0.87,0.1,,,,,,0.82,3,1,3,2,0,,2,1437925,17349,1412699,14442809,1215,21209,16603,2252,,2290,1889,597,,3302,14933110,6465859,5386249,2021-10-14,https://covidactnow.org/us/north_carolina-nc,0.616,0.514,99,11782531,3
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.1,other,71.9,0.18,0.99,0.1,,,,,,0.7,3,1,3,1,1,,0,139597,1692,116444,1747515,500,2027,1565,304,,200,140,64,,661,960470,396208,343545,2021-10-14,https://covidactnow.org/us/north_dakota-nd,0.52,0.451,6,773053,3
